# api.io.mi.com 影响米家互联的使用。
# connectivitycheck.gstatic.com 影响 GooglePlay
# XX.market.mi-img.com 影响MIUI小部件
# XX.market.xiaomi.com 影响MIUI小部件
127.0.0.1 assistant.pandora.xiaomi.com
127.0.0.1 at-img1.tdimg.com
127.0.0.1 at-img2.tdimg.com
127.0.0.1 at-img3.tdimg.com
127.0.0.1 atianqi.com
127.0.0.1 atm.youku.com
127.0.0.1 auction.unityads.unity.cn
127.0.0.1 auction.unityads.unity3d.com
127.0.0.1 auth.api.gitv.tv
127.0.0.1 badjs.weixinbridge.com
127.0.0.1 baidu.new1cloud.com
127.0.0.1 baiducdncmn3.inter.iqiyi.com
127.0.0.1 baiducdncnc.inter.ptqy.gitv.tv
127.0.0.1 baidutv.baidu.com
127.0.0.1 bar.baidu.com
127.0.0.1 bdbus-turbonet.baidu.com
127.0.0.1 bds.snssdk.com
127.0.0.1 bdsp.x.jd.com
127.0.0.1 blackhole.m.jd.com
127.0.0.1 bss.pandora.xiaomi.com
127.0.0.1 c.l.qq.com
127.0.0.1 callback.ad.xiaomi.com
127.0.0.1 cctv.adsunion.com
127.0.0.1 cdn.hpplay.com.cn
127.0.0.1 centertime.ksyun.com
127.0.0.1 chartboost.com
127.0.0.1 cm.cn.miaozhen.com
127.0.0.1 cm.ipinyou.com
127.0.0.1 cmonitor.iqiyi.com
127.0.0.1 conf.hpplay.cn
127.0.0.1 config.kuyun.com
127.0.0.1 config.unityads.unitychina.cn
127.0.0.1 coreldrawchina.com
127.0.0.1 cpro.baidu.com
127.0.0.1 cupid.ptqy.gitv.tv
127.0.0.1 d.cntv.cn
127.0.0.1 data.mistat.xiaomi.com
127.0.0.1 daup.map.baidu.com
127.0.0.1 de.pandora.xiaomi.com
127.0.0.1 df.tanx.com
127.0.0.1 diagnosis.ad.xiaomi.com
127.0.0.1 dig.bdurl.net
127.0.0.1 ditwan.cn
127.0.0.1 dl.cupid.ptqy.gitv.tv
127.0.0.1 dm.bytedance.com
127.0.0.1 dm.pstatp.com
127.0.0.1 dm.toutiao.com
127.0.0.1 dvb.pandora.xiaomi.com
127.0.0.1 ef-dongfeng.tanx.com
127.0.0.1 errlog.umeng.com
127.0.0.1 et.tanx.com
127.0.0.1 extlog.snssdk.com
127.0.0.1 file.xmpush.xiaomi.com
127.0.0.1 fix.hpplay.cn
127.0.0.1 g.dtv.cn.miaozhan.com
127.0.0.1 g.dtv.cn.miaozhen.com
127.0.0.1 g.pandora.xiaomi.com
127.0.0.1 gallery.pandora.xiaomi.com
127.0.0.1 gifshow.com
127.0.0.1 googleads.g.doubleclick.net
127.0.0.1 gs.getui.com
127.0.0.1 gslb.hpplay.cn
127.0.0.1 gvod.aiseejapp.atianqi.com
127.0.0.1 h-adashx.ut.taobao.com
127.0.0.1 h5.hpplay.com.cn
127.0.0.1 h5.tv.mi.com
127.0.0.1 hotupgrade.hpplay.cn
127.0.0.1 hpplay.cdn.cibn.cc
127.0.0.1 image.hpplay.cn
127.0.0.1 imdns.hpplay.cn
127.0.0.1 imp.ad.xelements.cn
127.0.0.1 init.supersonicads.com
127.0.0.1 ip.ptqy.gitv.tv
127.0.0.1 ironsrc.com
127.0.0.1 is-gateway.supersonicads.com
127.0.0.1 iwstat.tudou.com
127.0.0.1 iws.corel.com
127.0.0.1 iyes.youku.com
127.0.0.1 jellyfish.pandora.xiaomi.com
127.0.0.1 js-ad.a.yximgs.com
127.0.0.1 kuyun.com
127.0.0.1 kwimgs.com
127.0.0.1 leboapi.hpplay.com.cn
127.0.0.1 log.ad.xiaomi.com
127.0.0.1 log.mmstat.com
127.0.0.1 log.snssdk.com
127.0.0.1 log.umsns.com
127.0.0.1 log-api.pangolin-sdk-toutiao.com
127.0.0.1 logonext.tv.kuyun.com
127.0.0.1 logs.ironsrc.mobi
127.0.0.1 lstat.youku.com
127.0.0.1 m.reachmax.cn
127.0.0.1 ma.baidu.com
127.0.0.1 mairuanwang.com
127.0.0.1 makeding.com
127.0.0.1 mc.corel.com
127.0.0.1 metok.sys.miui.com
127.0.0.1 miaozhen.com
127.0.0.1 milink.pandora.xiaomi.com
127.0.0.1 misc.in.duokanbox.com
127.0.0.1 misc.pandora.xiaomi.com
127.0.0.1 mishop.pandora.xiaomi.com
127.0.0.1 mitv.tracking.miui.com
127.0.0.1 mobads.baidu.com
127.0.0.1 mon.ad.xelements.cn
127.0.0.1 monitor.bnc66.com
127.0.0.1 mopub.com
127.0.0.1 mpush-api.aliyun.com
127.0.0.1 ms.applvn.com
127.0.0.1 msg.qy.net
127.0.0.1 mtt.taobao.com
127.0.0.1 networksdk.ssacdn.com
127.0.0.1 new.api.ad.xiaomi.com
127.0.0.1 news-l.play.aiseet.atianqi.com
127.0.0.1 nielsen.com
127.0.0.1 norma-external-collect.meizu.com
127.0.0.1 nstat.tudou.com
127.0.0.1 o2o.api.xiaomi.com
127.0.0.1 omgmta.play.aiseet.atianqi.com
127.0.0.1 open.e.kuaishou.cn
127.0.0.1 open.e.kuaishou.com
127.0.0.1 openapi.vip.ptqy.gitv.tv
127.0.0.1 optimus-ads.amap.com
127.0.0.1 origin-mc.corel.com
127.0.0.1 ota.ptqy.gitv.tv
127.0.0.1 outcome-ssp.supersonicads.com
127.0.0.1 p2v.tudou.com
127.0.0.1 pagead2.googleadservices.com
127.0.0.1 pandora.mi.com
127.0.0.1 pandora.xiaomi.com
127.0.0.1 pangolin-sdk-toutiao-b.com
127.0.0.1 pangolin.snssdk.com
127.0.0.1 pay.ad.xiaomi.com
127.0.0.1 pay.api.youku.com
127.0.0.1 pay.bilibili.com
127.0.0.1 pay.hd.sohu.com
127.0.0.1 pay.icntv.help
127.0.0.1 pay.icntv.xyz
127.0.0.1 pay.iqiyi.com
127.0.0.1 pay.mobile.youku.com
127.0.0.1 pay.tv.qq.com
127.0.0.1 pay.tv.sohu.com
127.0.0.1 pay.video.qq.com
127.0.0.1 pay.zmengzhu.com
127.0.0.1 paycallback.iqiyi.com
127.0.0.1 paycode.iqiyi.com
127.0.0.1 payment.callback.youku.com
127.0.0.1 payment.youku.com
127.0.0.1 pd.ads.cn.miaozhen.com
127.0.0.1 pglstatp-toutiao.com
127.0.0.1 pic7.iqiyipic.com
127.0.0.1 pin.hpplay.cn
127.0.0.1 prod-ms.applovin.com
127.0.0.1 ptgy.gitv.tv
127.0.0.1 puma-api.ptqy.gitv.tv
127.0.0.1 px.ucweb.com
127.0.0.1 pyk.cr-nielsen.com
127.0.0.1 qr.api.youku.com
127.0.0.1 qr.bilibili.com
127.0.0.1 qr.icntv.cn
127.0.0.1 qr.iqiyi.com
127.0.0.1 qr.sohu.com
127.0.0.1 qr.tv.qq.com
127.0.0.1 qr.youku.com
127.0.0.1 qrcode.youku.com
127.0.0.1 qtsftl.m.cn.miaozhen.com
127.0.0.1 r.browser.miui.com
127.0.0.1 regist.tv.kuyun.com
127.0.0.1 res-ga.smzdm.com
127.0.0.1 resstatic.servicewechat.com
127.0.0.1 reward.ad.xiaomi.com
127.0.0.1 rp.hpplay.cn
127.0.0.1 rp.mobile.youku.com
127.0.0.1 rt.applovin.com
127.0.0.1 rtb.ads.cn.miaozhen.com
127.0.0.1 s2.zdmimg.com
127.0.0.1 s3-fe-scm.pglstatp-toutiao.com
127.0.0.1 s3a.pstatp.com
127.0.0.1 sayhi.360.cn
127.0.0.1 scc.ssacdn.com
127.0.0.1 scs.openspeech.cn
127.0.0.1 sdk.ptqy.gitv.tv
127.0.0.1 sdk-cache.video.ptqy.gitv.tv
127.0.0.1 sdkconfig.ad.xiaomi.com
127.0.0.1 sdkauth.hpplay.cn
127.0.0.1 secure.chn.imrworldwide.com
127.0.0.1 si.ptqy.gitv.tv
127.0.0.1 sisulizer.com
127.0.0.1 sl.hpplay.cn
127.0.0.1 spcode.baidu.com
127.0.0.1 starfish.pandora.xiaomi.com
127.0.0.1 stat.pandora.xiaomi.com
127.0.0.1 stat.tudou.com
127.0.0.1 stat.youku.com
127.0.0.1 static.ptqy.gitv.tv
127.0.0.1 staticsns.cdn.bcebos.com
127.0.0.1 stats.g.doubleclick.net
127.0.0.1 stats.tudou.com
127.0.0.1 store.log.ksyun.com
127.0.0.1 supcm.suning.com
127.0.0.1 supersonicads.com
127.0.0.1 t.track.ad.xiaomi.com
127.0.0.1 t7z.cupid.iqiyi.com
127.0.0.1 t7z.cupid.ptqy.gitv.tv
127.0.0.1 tapjoy.com
127.0.0.1 tat.pandora.xiaomi.com
127.0.0.1 time.video.ptqy.gitv.tv
127.0.0.1 toblog.ctobsnssdk.com
127.0.0.1 tosv.boe.byted.org
127.0.0.1 tosv.byted.org
127.0.0.1 trace.rtbasia.com
127.0.0.1 tracking.miui.com
127.0.0.1 tv.aiseet.atianqi.com
127.0.0.1 tvapi.kuyun.com
127.0.0.1 tvapp.hpplay.cn
127.0.0.1 tx-ad.a.yximgs.com
127.0.0.1 tyaqy.m.cn.miaozhen.com
127.0.0.1 ulogs.umeng.com
127.0.0.1 ulogs.umengcloud.com
127.0.0.1 umeng.com
127.0.0.1 umengcloud.com
127.0.0.1 union.gdtimg.com
127.0.0.1 unityads.unity3d.com
127.0.0.1 unityads.unitychina.cn
127.0.0.1 upgrade.mishop.pandora.xiaomi.com
127.0.0.1 utk.baidu.com
127.0.0.1 v.admaster.com.cn
127.0.0.1 v2.reachmax.cn
127.0.0.1 view.adjust.com
127.0.0.1 vip.api.youku.com
127.0.0.1 vip.bz.mgtv.com
127.0.0.1 vip.iqiyi.com
127.0.0.1 vip.ktcp.icntv.cn
127.0.0.1 vip.ktcp.icntv.top
127.0.0.1 vip.log.mgtv.com
127.0.0.1 vip.tv.qq.com
127.0.0.1 vip.youku.com
127.0.0.1 vip.zmengzhu.com
127.0.0.1 vipauth.hpplay.cn
127.0.0.1 vlive.qqvideo.tc.qq.com
127.0.0.1 vpay.video.qq.com
127.0.0.1 vt.ipinyou.com
127.0.0.1 vungle.com
127.0.0.1 vv.play.aiseet.atianqi.com
127.0.0.1 webapp.skysrt.com
127.0.0.1 weixinbridge.com
127.0.0.1 wgo.mmstat.com
127.0.0.1 ws.mmstat.com
127.0.0.1 wxsnsdy.tc.qq.com
127.0.0.1 xiaomi-dtv.m.cn.miaozhen.com
127.0.0.1 yhqdashi.com
127.0.0.1 yk-ssp-ad.cp31.ott.cibntv.net
127.0.0.1 yximgs.com
